number,high2019,high2020,high2021,mean
100,14.41045453,15.10818174,17.9306061,15.81641412
101,16.53090908,15.29454535,17.03409091,16.28651511
102,19.84818186,19.23499996,16.22757565,18.43691916
103,20.94969655,20.35378794,15.43893943,18.91414131
104,24.34409081,18.85666668,19.7137879,20.97151513
105,26.1181818,17.56045456,16.01712123,19.89858586
106,24.40909075,16.80803045,16.55500005,19.25737375
107,23.97333389,18.55333321,17.12833313,19.88500008
108,13.52621201,19.58787879,19.89893944,17.67101008
109,12.11121187,21.41348492,21.32787869,18.28419183
110,18.77181814,19.27787879,18.83106056,18.9602525
111,14.64878791,18.20772716,19.2692424,17.37525249
112,18.89015178,15.99196955,18.65545474,17.84585869
113,13.44318185,19.37681813,17.74575775,16.85525258
114,12.00984852,21.32954525,15.61303032,16.3174747
115,14.84878785,23.29333333,13.25909086,17.13373735
116,18.15803039,23.04030306,20.02515143,20.40782829
117,21.67348477,20.7737879,20.24439382,20.89722216
118,23.48606073,17.78878787,20.01787879,20.43090913
119,25.15999978,18.74742452,18.1831819,20.69686873
120,27.0019697,19.44439408,17.26969705,21.23868694
121,26.6992423,19.1924242,16.04303029,20.64489893
122,22.86242431,22.34151496,17.65424266,20.95272731
123,19.58818162,26.85136361,18.95772732,21.79909085
124,22.48590935,30.22833332,22.18166683,24.96530317
125,23.90712122,30.70545477,25.25954497,26.62404032
126,26.26181822,24.89833322,27.59969671,26.25328272
127,24.41060606,26.97515158,29.16015154,26.84863639
128,21.14409095,28.00363639,28.75424225,25.9673232
129,24.21803014,27.72106059,21.90136347,24.61348473
130,26.72409106,23.59545456,18.00757566,22.77570709
131,26.39590919,20.41227271,18.80500002,21.87106064
132,26.88712154,19.49469696,20.56257574,22.31479808
133,31.07530272,16.9103031,21.08499986,23.02353523
134,31.76803028,18.4774241,25.21136355,25.15227264
135,35.51393944,16.30378796,28.12439422,26.64737387
136,29.94045454,18.77090909,27.54803051,25.41979805
137,19.20151627,20.67272717,26.67333291,22.18252545
138,18.67075779,23.29424251,27.24848343,23.07116124
139,20.15106036,27.62030307,26.87606038,24.8824746
140,22.52651498,28.93151518,30.91803051,27.45868689
141,26.85136364,30.41909052,29.99181847,29.08742421
142,28.96666694,32.22060548,22.36696997,27.85141413
143,28.72075753,33.36954541,18.58712102,26.89247465
144,23.51924208,34.13363658,23.44409082,27.03232316
145,25.47121205,31.53121241,28.07045474,28.3576264
146,27.91984866,29.25909132,28.19136396,28.45676798
147,28.6959093,26.29530301,26.8036362,27.2649495
148,26.98378825,30.3525757,28.94878723,28.76171706
149,27.48909074,29.69727268,32.44075717,29.87570686
150,30.22697,32.28803039,32.73727275,31.75075771
151,32.28348389,32.19893924,30.72136319,31.73459544
152,33.97348413,30.05939395,26.46409024,30.16565611
153,36.17848492,29.84909058,29.22742374,31.75166641
154,34.45409211,30.67257601,30.36212239,31.82959684
155,28.67151477,27.6019697,27.08045499,27.78464649
156,22.39242412,25.97636315,23.43606027,23.93494918
157,23.24878752,29.60575787,30.79893941,27.88449493
158,23.584697,27.38378807,32.81333318,27.92727275
159,29.52106123,24.20924192,34.95818134,29.56282816
160,27.3795453,22.87242459,35.48863615,28.58020201
161,25.65424248,24.93378773,35.87530169,28.82111063
162,21.8254546,25.97606109,33.63515158,27.14555576
163,26.40575867,23.03893921,31.61454433,27.0197474
164,27.86318107,22.27894011,34.15166717,28.09792945
165,24.03227226,25.25212116,34.85803008,28.0474745
166,26.15257562,26.57409097,35.31909097,29.34858585
167,30.75651539,27.4431816,30.58681818,29.59550506
168,32.84242451,26.0086363,23.2395452,27.36353534
169,30.53863736,27.67424376,27.80515176,28.67267763
170,27.6540909,29.63772729,24.72984829,27.34055549
171,28.59499984,30.95106062,22.32212032,27.28939359
172,30.29378802,32.67863623,23.66287921,28.87843449
173,32.75075818,34.84833276,21.53454519,29.71121204
174,33.62954597,36.28651491,23.2757567,31.06393919
175,32.92287857,37.17030302,29.27666729,33.12328296
176,35.32712125,35.0683333,33.60075752,34.66540402
177,36.05121191,35.66318172,35.01651489,35.57696951
178,40.29409049,31.64818195,30.44530321,34.12919188
179,41.33742423,32.13954551,28.39318212,33.95671729
180,40.12681818,35.11833241,31.60696971,35.61737343
181,38.59515164,38.38606042,34.02439392,37.00186866
182,36.413031,38.31000039,34.54545358,36.42282832
183,35.38666673,36.17833372,34.368787,35.31126248
184,35.06651511,33.44318164,34.10045465,34.2033838
185,33.15802825,31.96742403,34.37060616,33.16535281
186,34.80757621,34.49454523,35.20227308,34.83479817
187,36.76757388,37.40590951,27.71272317,33.96206885
188,34.72166432,38.51227271,26.36560626,33.19984776
189,28.31666661,39.11651408,28.62848736,32.02055602
190,28.10757417,36.53045497,34.21832798,32.95211904
191,33.97499836,33.50318013,39.95045303,35.80954384
192,39.62227335,34.62999904,41.5147014,38.58899126
