number,lowPre,avPre,highPre
193,21.1414134,28.52707063,36.14212042
194,19.63484864,25.94798043,32.3185354
195,17.37863619,25.39222217,32.65767655
196,18.14282787,26.24237332,34.59772753
197,18.53545463,27.74287898,35.77949538
198,19.59924297,28.68257603,36.06323221
199,19.89272726,28.90111071,36.4355042
200,18.86060547,28.84560596,37.68606068
201,20.37176754,29.80414115,37.72212109
202,21.06404115,29.8896967,37.71924176
203,20.89171709,29.90893907,37.11373706
204,19.68994946,28.85035356,36.37868704
205,18.91075693,28.80247631,36.47788075
206,20.24702126,28.39141553,35.40752646
207,20.87196957,26.98494995,33.25782851
208,18.92040416,27.3576772,34.47863527
209,18.5013105,28.40782783,36.78843503
210,21.19121161,29.40116104,36.22757553
211,20.87409178,28.11474761,35.50444453
212,19.07565615,26.94232319,34.5993435
213,18.2264141,26.54040395,33.99095933
214,17.9353019,27.52893916,35.33636348
215,19.37197019,27.52530301,35.32762608
216,19.33136334,27.62111129,34.62590908
217,16.82717024,27.65252472,36.21121069
218,16.97666652,27.75505065,35.15065644
219,21.0939896,27.12505029,32.79782887
220,18.82893668,27.7462605,35.41505003
221,22.44737378,29.47974749,35.98171697
222,21.88176477,29.41454194,36.05696519
223,20.99621469,27.45207319,33.26954735
224,17.0277268,24.1954548,30.92106033
225,16.51000014,25.4637888,33.71636357
226,18.73712172,27.82818167,36.36409075
227,18.39949637,28.46762725,37.00288005
228,17.78318127,27.19924216,34.88525286
229,16.61560584,25.9936363,33.71353551
230,16.82580806,26.25535347,33.65035322
231,19.59656741,26.8145463,33.22095991
232,18.18717174,25.92358579,33.19530281
233,16.39727315,25.3932329,33.96126247
234,17.53863372,26.3174737,34.59434359
235,19.29606085,27.2790376,35.10004667
236,19.24510213,26.54575921,33.78853587
237,18.94863695,25.99777789,33.06373746
238,16.92020046,25.05762419,32.46448947
239,17.29868952,25.63919167,33.85929437
240,17.79702108,26.74666707,34.5798485
241,18.43752621,26.3430835,33.01096439
242,17.7213161,24.17545628,29.78469709
243,14.64232321,22.22141454,28.94282795
244,14.59121228,21.13681813,28.61055488
245,15.34080786,21.53727297,29.11848525
246,15.9896468,23.56555588,31.02439328
247,15.815505,23.91974709,31.85444249
248,16.56651491,23.52202068,31.08206996
249,15.86333438,23.93747498,32.57020172
250,16.86585909,24.66848914,32.31056109
251,16.35601119,22.68934386,28.41611202
252,15.16959588,21.54232321,27.64580877
253,14.84550507,21.11227229,26.69277542
254,14.88227252,22.51131324,29.62394052
255,15.42393906,23.52176961,31.50767642
256,16.44515176,21.68187143,27.3928322
257,15.97060509,20.23464615,24.96141317
258,16.15747537,20.69490008,25.35843997
259,17.0095457,21.57292792,27.54772564
260,16.867576,22.252122,29.48989887
261,15.80550632,21.51035213,27.52196506
262,14.25005248,19.6214662,25.13419347
263,14.78545374,18.6472218,22.66020167
264,13.5998992,17.77151539,22.62141461
265,12.96434407,17.9391927,24.59075757
266,12.5915681,18.60596105,25.44904036
267,14.99045203,19.89894012,25.48616591
268,15.48747645,19.44257673,23.3449006
269,12.27237391,18.36535381,24.26282891
270,11.28288353,18.27974913,25.52358348
271,11.75272947,18.21141262,25.27443878
272,8.89721956,17.52797672,26.59116084
273,10.60722187,18.85434347,27.55303087
274,10.94732231,18.80697168,26.94444661
275,11.05944375,18.32550278,24.02398839
276,10.66116179,15.86338759,21.08656902
277,8.39282807,14.9030809,22.05515259
278,9.17626268,16.1820199,22.956212
279,10.13111213,17.40434339,24.06959474
280,9.02439456,18.20989904,27.48802987
281,9.84515113,18.46323208,28.01530366
282,10.29161598,18.18671713,27.10914193
283,10.46994698,17.93913978,25.83217145
284,10.67742243,17.62151279,24.23176675
285,10.96303021,17.09232259,23.8006049
286,9.79217459,16.20555816,23.98742882
287,8.37459632,15.2274742,22.63520531
288,7.97282795,14.0732363,19.56081226
289,6.78712271,12.66676792,18.49519971
290,7.84141378,13.04121127,18.65278099
291,8.68944278,14.46247571,21.35550891
292,8.20969638,14.63171621,21.98681726
293,7.84508979,14.60141312,21.04758383
294,9.80803121,14.12499996,18.96691426
295,10.92232293,13.45762724,17.11464996
296,8.19636739,11.81171741,15.78443837
297,5.95343611,11.37747356,17.54388962
298,4.85985005,11.50545402,19.72696476
299,6.44106276,12.70515175,20.50763197
300,6.43060628,12.3601497,19.3286302
301,7.37560538,13.1950016,18.70550982
302,9.21398967,12.39535089,15.27903431
303,10.40222244,14.31525312,18.10606879
304,10.18257689,15.14732912,20.8044492
305,10.9513139,15.35595965,20.55818171
306,9.60358481,14.20565721,18.9339926
307,9.92414287,13.00126462,16.8180318
308,8.75383829,11.25797973,14.2894965
309,6.80691887,9.57848668,13.48575926
310,5.49186105,10.12267437,15.14929199
311,5.6561607,11.17081057,16.40102453
312,5.78737525,10.44834183,15.49456738
313,5.669143,8.82030315,12.62368758
314,3.57278186,8.70570633,14.26095647
315,2.52434326,8.22096009,15.82176888
316,3.24888832,9.44106034,16.53777899
317,5.5628269,10.25621194,16.45762719
318,4.48656754,9.27621499,14.42515207
319,6.57005297,9.66762754,12.61585895
320,4.80783268,9.2576812,14.17181958
321,4.19924882,9.05394271,13.63974502
322,2.7177277,7.61757511,13.53772878
323,3.20131899,7.81116427,13.47994976
324,4.3452993,9.00580698,14.81237509
325,6.10742305,9.63878482,13.86570156
326,4.34292977,7.81616145,11.36883708
327,3.57833588,6.95585842,10.77969272
328,2.84136877,7.06066065,12.89914581
329,3.17045555,7.32752542,13.62459057
330,3.88009812,7.67474738,12.14611282
331,6.53979734,8.871514,11.51368447
332,4.77166794,8.58566284,11.98090994
333,8.07162257,10.73975264,13.49883788
334,4.02176694,8.51389048,13.44823126
335,2.14585845,6.15474785,11.63883965
336,2.34444433,6.76737406,12.12893954
337,1.36353671,6.24641358,11.24600775
338,1.11156434,6.03307737,11.41120608
339,4.70080722,8.34202154,11.42631236
340,1.80378483,7.09631413,12.30758616
341,2.55005327,6.56964391,10.90429481
342,4.47732639,7.27353585,9.97747735
343,3.68752757,7.29757793,11.05479767
344,2.44717871,7.10636591,11.13580995
345,4.54495144,8.84247349,13.62908928
346,6.67232434,9.87212046,14.21111206
347,4.40828278,9.64595807,15.15651513
348,2.13918901,7.25393574,14.08888391
349,3.38960346,8.23525622,14.04783592
350,3.36450947,7.79960497,11.30803353
351,2.09419161,6.46197173,12.09844789
