number,av2019,av2020,av2021,mean
161,19.78,17.45954571,27.73772542,21.65909038
162,17.13530299,19.93696959,24.49818186,20.52348481
163,18.39636387,19.67666709,23.4422721,20.50510102
164,21.26666576,16.06197011,26.01909219,21.11590935
165,20.02439407,17.67272683,27.61454533,21.77055541
166,19.12999991,20.13590917,27.93212139,22.39934349
167,21.71742441,21.8122726,24.71166622,22.74712108
168,24.93287895,21.25803026,18.3527275,21.51454557
169,25.92742515,21.23833389,20.21969649,22.46181851
170,23.57848483,22.28181804,19.7578788,21.87272722
171,23.05924248,23.60909086,18.98787885,21.88540406
172,23.78833334,25.11333329,19.02287856,22.64151506
173,25.04621228,26.27909049,17.91560613,23.08030297
174,26.23318236,27.69166608,18.40984788,24.11156544
175,26.7731821,29.06348492,21.08984865,25.64217189
176,27.38878788,28.59287896,25.1800001,27.05388898
177,29.55318198,28.00484837,26.8578786,28.13863632
178,31.42181762,25.89454569,25.17954566,27.49863632
179,32.32015131,25.15166682,22.15409088,26.54196967
180,32.42106059,27.2853035,23.88681839,27.86439416
181,32.26106068,29.85772719,25.71030334,29.27636374
182,29.73181861,31.2818185,25.73393803,28.91585838
183,27.54939408,30.06575781,26.14030297,27.91848495
184,27.10196985,27.09303081,27.20030274,27.1317678
185,28.4040911,24.54757583,28.64212152,27.19792948
186,28.57303012,25.98424311,27.77393835,27.44373719
187,28.35363516,28.75606223,21.7559062,26.28853453
188,28.02166528,30.6627273,18.99090919,25.89176726
189,24.75318199,31.14909066,21.33530432,25.74585899
190,22.29999902,29.67257601,25.48014867,25.81757457
191,25.28621039,26.14848341,30.09363517,27.17610966
192,29.21893853,26.47969553,31.20894356,28.96919254
193,30.88439385,29.22454533,25.47227021,28.5270698
194,29.87560611,27.23560632,20.73272789,25.94798011
195,27.79363644,26.81227306,21.57075707,25.39222219
196,28.41181871,26.23984849,24.07545171,26.24237297
197,29.08545484,26.18151554,27.96166652,27.74287897
198,28.33727264,27.43727266,30.27318199,28.68257576
199,29.07045373,28.02363544,29.60924325,28.90111081
200,30.81878799,27.6416666,28.07636324,28.84560594
201,31.63969812,29.18606084,28.58666473,29.80414123
202,30.90272745,29.21818209,29.548181,29.88969685
203,30.21408997,28.96287878,30.54984861,29.90893912
204,31.05318187,27.38287875,28.11500013,28.85035358
205,31.41333268,29.40378772,25.59030857,28.80247632
206,31.21409242,30.25530343,23.70485071,28.39141552
207,28.27363601,30.12954557,22.55166743,26.98494967
208,24.50363668,31.13939396,26.43000179,27.35767748
209,23.85439488,32.22454642,29.14454234,28.40782788
210,25.8734845,31.42681893,30.90317925,29.40116089
211,24.43303,30.94787781,28.96333589,28.1147479
212,26.2556059,32.20803009,22.36333376,26.94232325
213,28.14742423,31.37454528,20.09924226,26.54040392
214,28.82545409,31.07000269,22.69136087,27.52893922
215,28.90030304,28.38393936,25.29166561,27.52530267
216,29.00045457,25.93030304,27.93257618,27.62111126
217,29.08833154,26.18408899,27.68514974,27.65252342
218,28.23909049,27.89106041,27.13500272,27.75505121
219,26.90666745,29.7969685,24.67151523,27.12505039
220,27.62757233,31.52787443,24.08333278,27.74625985
221,28.62696968,32.09242442,27.71984829,29.47974746
222,26.78969403,31.9355994,29.518332,29.41454181
223,24.91303421,27.24166997,30.20151389,27.45207269
224,21.80863583,20.32409011,30.45363585,24.19545393
225,22.66833329,21.15242375,32.57060541,25.46378748
226,25.07015067,24.48257567,33.93181832,27.82818155
227,27.4363597,26.03803301,31.92848722,28.46762664
228,28.9843894,24.65894133,27.9543941,27.19924161
229,29.90515067,22.35878786,25.71696992,25.99363615
230,28.83363622,23.14257555,26.78984815,26.25535331
231,27.96591095,25.45575742,27.02196964,26.814546
232,24.80090872,26.06030296,26.90954479,25.92358549
233,23.09924241,25.97757576,27.10287925,25.39323247
234,23.24469048,27.1795479,28.52818321,26.31747386
235,25.391972,27.3945404,29.05060369,27.2790387
236,27.00939641,26.60303236,26.02484852,26.5457591
237,26.53606314,25.87136271,25.58590946,25.99777844
238,21.94075853,27.16484184,26.06727318,25.05762452
239,21.20166749,29.02121692,26.69470121,25.63919521
240,23.85530388,30.24696862,26.13773031,26.7466676
241,26.00924391,26.78652479,26.23348208,26.34308359
242,26.14818589,19.35969832,27.01848712,24.17545711
243,24.53712118,17.08424241,25.04287828,22.22141396
244,24.78136704,18.61272488,20.01636188,21.13681793
245,25.20803117,20.03393868,19.36984758,21.53727248
246,26.92576481,22.0340881,21.73681593,23.56555628
247,25.61591087,23.01378346,23.12954425,23.91974619
248,21.10227201,24.84166527,24.6221207,23.52201933
249,19.27166745,26.03499935,26.50575758,23.93747479
250,21.70545536,25.72727695,26.57273045,24.66848759
251,23.43424366,20.74272799,23.89106002,22.68934389
252,21.9131814,19.72590904,22.98788133,21.54232392
253,18.22787822,21.38030262,23.72863593,21.11227226
254,20.82666723,23.94818092,22.75909095,22.51131303
255,22.01879043,24.98091026,23.56560673,23.52176914
256,19.13470222,25.03166635,20.87924734,21.68187197
257,17.66484926,25.11014996,17.92893869,20.23464597
258,18.09666772,24.78636715,19.20166934,20.6949014
259,20.46166581,24.21196927,20.04514783,21.57292764
260,21.26803076,24.06469621,21.42363616,22.25212104
261,21.58575934,22.00620943,20.93908992,21.5103529
262,22.13227383,18.08500399,18.64712397,19.62146726
263,20.85106037,17.41636402,17.67424163,18.64722201
264,19.16515002,17.95091041,16.19848494,17.77151512
265,19.02712078,17.90742478,16.88303061,17.93919206
266,17.34212205,19.13697231,19.338788,18.60596079
267,19.6115154,20.63333398,19.45197196,19.89894045
268,20.18500127,19.37651779,18.76621172,19.44257693
269,20.19348525,16.3407569,18.56181797,18.36535337
270,20.34030109,15.7195492,18.77939847,18.27974959
271,19.60575449,16.61878704,18.40969527,18.21141227
272,20.31742413,14.39741501,17.86908529,17.52797481
273,20.71787927,17.14970024,18.69545561,18.85434504
274,19.28636494,18.60394121,18.53060748,18.80697121
275,18.39484803,17.96909293,18.61257031,18.32550376
276,17.42363749,14.24985226,15.91666845,15.86338607
277,18.63030319,12.81757612,13.26136226,14.90308052
278,18.86924127,13.87742381,15.79939293,16.18201934
279,19.51515201,15.33787845,17.35999974,17.4043434
280,20.44833272,17.38712272,16.7942428,18.20989941
281,20.72636544,17.51166607,17.15166658,18.4632327
282,20.05015111,18.18363676,16.32636366,18.18671718
283,19.23514727,18.31924767,16.26302665,17.93914053
284,20.29696251,16.31681718,16.25075725,17.62151231
285,22.01984997,12.64378271,16.61333329,17.09232199
286,18.95183149,13.36923838,16.29561093,16.20556027
287,15.82530769,15.21636369,14.64075801,15.22747646
288,12.18545256,14.65636735,15.37788078,14.07323356
289,12.11998575,11.22153083,14.65879035,12.66676898
290,13.27591563,8.88469604,16.96303003,13.0412139
291,17.74121175,9.02787918,16.61833625,14.46247573
292,15.17030525,11.2042379,17.52060323,14.63171546
293,11.64091425,14.15135791,18.01196796,14.60141337
294,8.9936359,15.83575976,17.54560354,14.12499973
295,9.11454451,16.12818192,15.13015249,13.45762631
296,9.33833353,14.33166967,11.76514801,11.81171707
297,11.03938954,11.69560814,11.39742396,11.37747388
298,12.29060075,10.07575221,12.15000775,11.50545357
299,13.67333386,11.15515104,13.28697562,12.70515351
300,14.44030037,10.81515189,11.82499946,12.36015057
301,15.13212639,12.34636486,12.10651346,13.19500157
302,12.74469578,10.8219754,13.61938287,12.39535135
303,14.36954935,11.79136384,16.78485056,14.31525458
304,17.79773454,10.24713058,17.3971199,15.14732834
305,18.15924221,12.93136406,14.97727279,15.35595969
306,17.25348482,14.17969868,11.18378815,14.20565722
307,15.43181794,13.47833213,10.09364232,13.00126413
308,14.53197017,11.66272724,7.57924329,11.25798023
309,11.6768208,9.29591178,7.76272785,9.57848681
310,11.65196217,11.79227171,6.92378309,10.12267232
311,11.58864829,14.45076129,7.47302268,11.17081075
312,9.41456943,12.00651863,9.92394036,10.44834281
313,8.48576089,8.28454213,9.690605,8.820302673
314,7.31060261,11.24030316,7.56621164,8.705705803
315,7.08015199,10.24242858,7.34030188,8.220960817
316,10.22211975,9.00363818,9.09742541,9.441061113
317,12.7486387,9.02014511,8.99984596,10.25620992
318,7.82212075,10.0984896,9.9080294,9.27621325
319,6.50151089,11.69227313,10.8091009,9.667628307
320,6.48348585,14.28333976,7.00621797,9.257681193
321,6.47682786,12.7210616,7.96393874,9.053942733
322,6.14151568,9.65894215,7.0522787,7.617578843
323,3.43787936,10.12939686,9.86621627,7.811164163
324,4.28060454,11.95484805,10.78196868,9.00580709
325,7.91075657,10.30545112,10.70015029,9.638785993
326,9.29878751,7.37848696,6.77120895,7.81616114
327,9.48969576,6.12849022,5.24939962,6.955861867
328,10.27637002,5.99075822,4.9148587,7.060662313
329,11.84333187,5.20681944,4.93242328,7.327524863
330,11.0375755,7.29984514,4.68681787,7.67474617
331,11.48227001,10.38757993,4.74469171,8.871513883
332,11.56894009,8.54530267,5.64273756,8.585660107
333,14.19257823,7.6528785,10.37379471,10.73975048
334,12.82817485,6.92333443,5.79014759,8.513885623
335,7.90727709,6.66302443,3.8939406,6.154747373
336,7.22606216,8.00348251,5.07257624,6.767373637
337,6.10317589,8.09378249,4.54227484,6.246411073
338,8.62847957,3.45287082,6.01787691,6.033075767
339,9.66711981,5.39848168,9.96045545,8.34201898
340,8.34090107,4.92803093,8.02001817,7.096316723
341,6.89878853,6.98423515,5.8259088,6.56964416
342,5.85000406,8.27394719,7.69665376,7.273535003
343,5.90014642,5.56182541,10.43075516,7.297575663
344,2.76924852,5.57486092,12.97499265,7.106367363
345,4.91196745,11.29636371,10.31908893,8.842473363
346,8.60408932,14.53757651,6.47468623,9.872117353
347,12.40106083,10.57499817,5.96181842,9.64595914
348,8.11226845,7.04302461,6.60651714,7.253936733
349,9.00788841,9.90515738,5.79273126,8.235259017
350,10.52715567,8.61787843,4.25379333,7.799609143
351,8.69320495,7.09499718,3.59771998,6.461974037
352,6.30256694,8.81984839,5.20409176,6.775502363
