number,low2019,low2020,low2021,mean
166,10.46939393,10.93393928,18.15909092,13.18747471
167,11.60575784,13.0656064,17.85515147,14.17550524
168,14.34469695,15.10106055,16.24454549,15.230101
169,19.60560691,14.14272774,14.44499986,16.06444484
170,18.4778787,14.21818196,12.94818182,15.21474749
171,15.51318172,13.52803,14.79787882,14.61303018
172,16.77394013,13.56166665,14.66409102,14.99989927
173,14.92363649,15.84939388,14.31075812,15.0279295
174,16.48893899,18.75515058,13.72999986,16.32469648
175,20.0333335,20.56363709,12.2916673,17.62954596
176,18.67181807,22.25424233,15.58833314,18.83813118
177,22.59030297,19.42848444,18.24681827,20.08853523
178,21.62272707,18.51909095,18.96530336,19.70237379
179,20.58803011,16.6906061,14.09227288,17.12363636
180,20.82409095,17.49333293,14.40318186,17.57353525
181,22.67515178,19.23469645,16.50545576,19.471768
182,21.81166632,21.48924258,14.90621169,19.40237353
183,19.65545443,20.06787888,14.43636356,18.05323229
184,19.82409096,17.98136427,18.30105939,18.70217154
185,22.30424243,17.19439463,21.38863638,20.29575781
186,20.2260606,16.4466668,19.03439378,18.56904039
187,17.22015186,17.6277287,19.05696681,17.96828246
188,18.45757575,21.54772703,11.37909041,17.12813106
189,19.79727176,21.73333334,14.25045464,18.59368658
190,15.68045498,22.59394023,15.4880277,17.92080764
191,15.53030092,20.10893914,18.14166433,17.92696813
192,17.94818039,18.04939085,20.1774246,18.72499861
193,20.53818173,22.0704541,20.81560637,21.14141407
194,22.08515156,22.06303181,14.75636412,19.63484916
195,20.80742412,17.66590894,13.66257578,17.37863628
196,20.20257639,19.35272676,14.87318053,18.14282789
197,20.47909116,17.8983333,17.22893937,18.53545461
198,21.82439473,18.67166698,18.30166702,19.59924291
199,19.6963627,20.23424299,19.74757638,19.89272736
200,21.00151342,17.12802955,18.45227164,18.86060487
201,23.32742468,19.12545459,18.66242231,20.37176719
202,24.22591018,19.428182,19.53802978,21.06404065
203,22.07727267,20.52106062,20.07681837,20.89171722
204,22.53424157,18.75590912,17.77969681,19.68994917
205,21.16923655,19.24318121,16.3198529,18.91075689
206,23.85757222,21.57273002,15.31076202,20.24702142
207,25.50515026,21.58060525,15.53015151,20.87196901
208,20.6219708,19.75560576,16.38363489,18.92040382
